mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	4.5	-5	9/8	9/8	0					firstMeasure	2
2	2	9/2	4.5	-5	9/8	9/8	0						3
3	3	9	4.5	-5	9/8	9/8	0						4
4	4	27/2	4.5	-5	9/8	9/8	0						5
5	5	18	4.5	-5	9/8	9/8	0				line		6
6	6	45/2	4.5	-5	9/8	9/8	0						7
7	7	27	4.5	-5	9/8	9/8	0						8
8	8	63/2	4.5	-5	9/8	9/8	0						9
9	9	36	4.5	-5	9/8	9/8	0						10
10	10	81/2	4.5	-5	9/8	9/8	0				line		11
11	11	45	4.5	-5	9/8	9/8	0						12
12	12	99/2	4.5	-5	9/8	9/8	0						13
13	13	54	4.5	-5	9/8	9/8	0						14
14	14	117/2	4.5	-5	9/8	9/8	0						15
15	15	63	4.5	-5	9/8	9/8	0				line		16
16	16	135/2	4.5	-5	9/8	9/8	0						17
17	17	72	4.5	-5	9/8	9/8	0						18
18	18	153/2	4.5	-5	9/8	9/8	0						19
19	19	81	4.5	-5	9/8	9/8	0						20
20	20	171/2	4.5	-5	9/8	9/8	0				line		21
21	21	90	4.5	-5	9/8	9/8	0						22
22	22	189/2	4.5	-5	9/8	9/8	0						23
23	23	99	4.5	-5	9/8	9/8	0						24
24	24	207/2	4.5	-5	9/8	9/8	0						25
25	25	108	4.5	-5	9/8	9/8	0						26
26	26	225/2	4.5	-5	9/8	9/8	0				page		27
27	27	117	4.5	-5	9/8	9/8	0						28
28	28	243/2	4.5	-5	9/8	9/8	0				line		29
29	29	126	4.5	-5	9/8	9/8	0						30
30	30	261/2	4.5	-5	9/8	9/8	0				line		31
31	31	135	4.5	-5	9/8	9/8	0						32
32	32	279/2	4.5	-5	9/8	9/8	0				line		33
33	33	144	4.5	-5	9/8	9/8	0						34
34	34	297/2	4.5	-5	9/8	9/8	0				line		35
35	35	153	4.5	-5	9/8	9/8	0						36
36	36	315/2	4.5	-5	9/8	9/8	0			double	line		37
37	37	162	4.5	4	9/8	9/8	0						38
38	38	333/2	4.5	4	9/8	9/8	0				page		39
39	39	171	4.5	4	9/8	9/8	0						40
40	40	351/2	4.5	4	9/8	9/8	0				line		41
41	41	180	4.5	4	9/8	9/8	0						42
42	42	369/2	4.5	4	9/8	9/8	0				line		43
43	43	189	4.5	-5	9/8	9/8	0						44
44	44	387/2	4.5	-5	9/8	9/8	0				line		45
45	45	198	4.5	-5	9/8	9/8	0						46
46	46	405/2	4.5	-5	9/8	9/8	0				line		47
47	47	207	4.5	-5	9/8	9/8	0						48
48	48	423/2	4.5	-5	9/8	9/8	0				line		49
49	49	216	4.5	-5	9/8	9/8	0						50
50	50	441/2	4.5	-5	9/8	9/8	0						51
51	51	225	4.5	-5	9/8	9/8	0				page		52
52	52	459/2	4.5	-5	9/8	9/8	0						53
53	53	234	4.5	-5	9/8	9/8	0						54
54	54	477/2	4.5	-5	9/8	9/8	0				line		55
55	55	243	4.5	-5	9/8	9/8	0						56
56	56	495/2	4.5	-5	9/8	9/8	0						57
57	57	252	4.5	-5	9/8	9/8	0				line		58
58	58	513/2	4.5	-5	9/8	9/8	0						59
59	59	261	4.5	-5	9/8	9/8	0						60
60	60	531/2	4.5	-5	9/8	9/8	0						61
61	61	270	4.5	-5	9/8	9/8	0				line		62
62	62	549/2	4.5	-5	9/8	9/8	0						63
63	63	279	4.5	-5	9/8	9/8	0						64
64	64	567/2	4.5	-5	9/8	9/8	0						65
65	65	288	4.5	-5	9/8	9/8	0				line		66
66	66	585/2	4.5	-5	9/8	9/8	0						67
67	67	297	4.5	-5	9/8	9/8	0						68
68	68	603/2	4.5	-5	9/8	9/8	0				line		69
69	69	306	4.5	-5	9/8	9/8	0						70
70	70	621/2	4.5	-5	9/8	9/8	0						71
71	71	315	4.5	-5	9/8	9/8	0						72
72	72	639/2	4.5	-5	9/8	9/8	0			end		lastMeasure	-1
