mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3.0	0	0	3/4	2	1	a.iv7(+6){		a	i		iv7(+6)	iv		7	+6			{	mm7	1	1	-1, -4, 0, -3	2	-1	-1
2	2	3	3	1.0	0	0	3/4	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
2	2	4	4	1.0	1/4	1/4	3/4	2	1	V7/VII		a	i		V7/VII	V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
2	2	5	5	1.0	1/2	1/2	3/4	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
3	3	6	6	1.0	0	0	3/4	2	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
3	3	7	7	2.0	1/4	1/4	3/4	2	1	V7(+4+2)		a	i		V7(+4+2)	V		7	+4+2				Mm7	1	1	1, 5, 2, -1	0, -4	1	1
4	4	9	9	2.0	0	0	3/4	2	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
4	4	11	11	1.0	1/2	1/2	3/4	2	1	V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	5	12	12	1.0	0	0	3/4	2	1	VIM7(+2)|DC		a	i		VIM7(+2)	VI	M	7	+2		DC		MM7	1	1	-4, 0, -3, 1	-2	-4	-4
5	5	13	13	1.0	1/4	1/4	3/4	2	1	ii7/VI		a	i		ii7/VI	ii		7		VI			mm7	1	1	-2, -5, -1, -4		-2	-2
5	5	14	14	1.0	1/2	1/2	3/4	2	1	V7(+2)/VI		a	i		V7(+2)/VI	V		7	+2	VI			Mm7	1	1	-3, 1, -2, -5	-1	-3	-3
6	6	15	15	0.5	0	0	3/4	2	1	VI		a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
6	6	31/2	31/2	0.5	1/8	1/8	3/4	2	1	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
6	6	16	16	1.0	1/4	1/4	3/4	2	1	VIM7(+2)		a	i		VIM7(+2)	VI	M	7	+2				MM7	1	1	-4, 0, -3, 1	-2	-4	-4
6	6	17	17	1.0	1/2	1/2	3/4	2	1	ii7/VI		a	i		ii7/VI	ii		7		VI			mm7	1	1	-2, -5, -1, -4		-2	-2
7	7	18	18	1.0	0	0	3/4	2	1	V7(+2)/VI		a	i		V7(+2)/VI	V		7	+2	VI			Mm7	1	1	-3, 1, -2, -5	-1	-3	-3
7	7	19	19	1.0	1/4	1/4	3/4	2	1	VI		a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
7	7	20	20	1.0	1/2	1/2	3/4	2	1	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
8	8	21	21	1.0	0	0	3/4	2	1	V65(+2)/III		a	i		V65(+2)/III	V		65	+2	III			Mm7	1	1	2, -1, -4, -2	0	-2	2
8	8	22	22	1.0	1/4	1/4	3/4	2	1	V7/III		a	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
8	8	23	23	0.5	1/2	1/2	3/4	2	1	V65(+2)/III		a	i		V65(+2)/III	V		65	+2	III			Mm7	1	1	2, -1, -4, -2	0	-2	2
8	8	47/2	47/2	0.5	5/8	5/8	3/4	2	1	v64		a	i		v64	v		64					m	1	1	2, 1, -2		1	2
9	9	24	24	1.0	0	0	3/4	2	1	V65(+2)/III		a	i		V65(+2)/III	V		65	+2	III			Mm7	1	1	2, -1, -4, -2	0	-2	2
9	9	25	25	1.0	1/4	1/4	3/4	2	1	V7/III		a	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
9	9	26	26	1.0	1/2	1/2	3/4	2	1	V65(+2)/III		a	i		V65(+2)/III	V		65	+2	III			Mm7	1	1	2, -1, -4, -2	0	-2	2
