mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.25	0	0	3/4	1	1	1/16		1/16	1		2	50	D3	3	0
1	1	0	0	0.25	0	0	3/4	1	1	1/16		1/16	1		3	57	A3	3	0
1	1	1/4	1/4	0.25	1/16	1/16	3/4	1	1	1/16		1/16	1		5	59	B3	3	1
1	1	1/4	1/4	0.25	1/16	1/16	3/4	1	1	1/16		1/16	1		-1	65	F4	4	1
1	1	1/2	1/2	0.25	1/8	1/8	3/4	1	1	1/16		1/16	1		-1	53	F3	3	2
1	1	1/2	1/2	0.25	1/8	1/8	3/4	1	1	1/16		1/16	1		0	60	C4	4	2
1	1	3/4	3/4	0.25	3/16	3/16	3/4	1	1	1/16		1/16	1		2	62	D4	4	3
1	1	3/4	3/4	0.25	3/16	3/16	3/4	1	1	1/16		1/16	1		3	69	A4	4	3
1	1	1	1	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		2	50	D3	3	13
1	1	1	1	0.5	1/4	1/4	3/4	1	2	1/8		1/8	1		5	59	B3	3	6
1	1	3/2	3/2	0.0	3/8	3/8	3/4	1	2	0	grace16	1/16	1		5	59	B3	3	7
1	1	3/2	3/2	0.0	3/8	3/8	3/4	1	2	0	grace16	1/16	1		0	60	C4	4	8
1	1	3/2	3/2	0.25	3/8	3/8	3/4	1	2	1/16		1/16	1		5	59	B3	3	9
1	1	3/2	3/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		-1	65	F4	4	4
1	1	3/2	3/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		3	69	A4	4	4
1	1	7/4	7/4	0.25	7/16	7/16	3/4	1	2	1/16		1/16	1		3	57	A3	3	10
1	1	2	2	0.5	1/2	1/2	3/4	2	1	1/8		1/8	1		2	50	D3	3	14
