mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	0.5	0	5/8	6/8	1	1	1/8		1/8	1		8	56	G#3	3	0
1	0	0	0	0.5	0	5/8	6/8	1	1	1/8		1/8	1		8	68	G#4	4	0
2	1	1/2	1/2	0.25	0	0	6/8	2	1	1/16		1/16	1		7	37	C#2	2	5
2	1	1/2	1/2	1.0	0	0	6/8	1	1	1/4		1/4	1		7	61	C#4	4	1
2	1	1/2	1/2	1.0	0	0	6/8	1	1	1/4		1/4	1		7	73	C#5	5	1
2	1	3/4	3/4	0.25	1/16	1/16	6/8	2	1	1/16		1/16	1		8	44	G#2	2	6
2	1	1	1	0.25	1/8	1/8	6/8	2	1	1/16		1/16	1		7	49	C#3	3	7
2	1	5/4	5/4	0.25	3/16	3/16	6/8	2	1	1/16		1/16	1		4	52	E3	3	8
2	1	3/2	3/2	0.25	1/4	1/4	6/8	2	1	1/16		1/16	1		7	49	C#3	3	9
2	1	3/2	3/2	0.5	1/4	1/4	6/8	1	1	1/8		1/8	1		9	63	D#4	4	2
2	1	3/2	3/2	0.5	1/4	1/4	6/8	1	1	1/8		1/8	1		9	75	D#5	5	2
2	1	7/4	7/4	0.25	5/16	5/16	6/8	2	1	1/16		1/16	1		4	52	E3	3	10
2	1	2	2	0.25	3/8	3/8	6/8	2	1	1/16		1/16	1		7	49	C#3	3	11
2	1	2	2	1.0	3/8	3/8	6/8	1	1	1/4		1/4	1		4	64	E4	4	3
2	1	2	2	1.0	3/8	3/8	6/8	1	1	1/4		1/4	1		4	76	E5	5	3
2	1	9/4	9/4	0.25	7/16	7/16	6/8	2	1	1/16		1/16	1		4	52	E3	3	12
2	1	5/2	5/2	0.25	1/2	1/2	6/8	2	1	1/16		1/16	1		7	49	C#3	3	13
2	1	11/4	11/4	0.25	9/16	9/16	6/8	2	1	1/16		1/16	1		4	52	E3	3	14
2	1	3	3	0.25	5/8	5/8	6/8	2	1	1/16		1/16	1		7	49	C#3	3	15
2	1	3	3	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		6	66	F#4	4	4
2	1	3	3	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		6	78	F#5	5	4
2	1	13/4	13/4	0.25	11/16	11/16	6/8	2	1	1/16		1/16	1		8	44	G#2	2	16
3	2	7/2	7/2	0.25	0	0	6/8	2	1	1/16		1/16	1		7	37	C#2	2	21
3	2	7/2	7/2	1.0	0	0	6/8	1	1	1/4		1/4	1		8	68	G#4	4	17
3	2	7/2	7/2	1.0	0	0	6/8	1	1	1/4		1/4	1		8	80	G#5	5	17
3	2	15/4	15/4	0.25	1/16	1/16	6/8	2	1	1/16		1/16	1		8	44	G#2	2	22
3	2	4	4	0.25	1/8	1/8	6/8	2	1	1/16		1/16	1		7	49	C#3	3	23
3	2	17/4	17/4	0.25	3/16	3/16	6/8	2	1	1/16		1/16	1		4	52	E3	3	24
3	2	9/2	9/2	0.25	1/4	1/4	6/8	2	1	1/16		1/16	1		7	49	C#3	3	25
3	2	9/2	9/2	0.5	1/4	1/4	6/8	1	1	1/8		1/8	1		3	69	A4	4	18
3	2	9/2	9/2	0.5	1/4	1/4	6/8	1	1	1/8		1/8	1		3	81	A5	5	18
3	2	19/4	19/4	0.25	5/16	5/16	6/8	2	1	1/16		1/16	1		8	44	G#2	2	26
3	2	5	5	0.25	3/8	3/8	6/8	2	1	1/16		1/16	1		5	35	B1	1	27
3	2	5	5	0.25	3/8	3/8	6/8	2	1	1/16		1/16	1		5	47	B2	2	27
3	2	5	5	1.0	3/8	3/8	6/8	1	1	1/4		1/4	1		5	71	B4	4	19
3	2	5	5	1.0	3/8	3/8	6/8	1	1	1/4		1/4	1		5	83	B5	5	19
3	2	21/4	21/4	0.25	7/16	7/16	6/8	2	1	1/16		1/16	1		9	51	D#3	3	28
3	2	11/2	11/2	0.25	1/2	1/2	6/8	2	1	1/16		1/16	1		6	54	F#3	3	29
3	2	23/4	23/4	0.25	9/16	9/16	6/8	2	1	1/16		1/16	1		3	57	A3	3	30
3	2	6	6	0.25	5/8	5/8	6/8	2	1	1/16		1/16	1		6	54	F#3	3	31
3	2	6	6	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		3	69	A4	4	20
3	2	6	6	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		3	81	A5	5	20
3	2	25/4	25/4	0.25	11/16	11/16	6/8	2	1	1/16		1/16	1		9	51	D#3	3	32
4	3	13/2	13/2	0.25	0	0	6/8	2	1	1/16		1/16	1		4	40	E2	2	37
4	3	13/2	13/2	1.0	0	0	6/8	1	1	1/4		1/4	1		8	68	G#4	4	33
4	3	13/2	13/2	1.0	0	0	6/8	1	1	1/4		1/4	1		8	80	G#5	5	33
4	3	27/4	27/4	0.25	1/16	1/16	6/8	2	1	1/16		1/16	1		5	47	B2	2	38
4	3	7	7	0.25	1/8	1/8	6/8	2	1	1/16		1/16	1		4	52	E3	3	39
4	3	29/4	29/4	0.25	3/16	3/16	6/8	2	1	1/16		1/16	1		8	56	G#3	3	40
4	3	15/2	15/2	0.25	1/4	1/4	6/8	2	1	1/16		1/16	1		4	52	E3	3	41
4	3	15/2	15/2	0.5	1/4	1/4	6/8	1	1	1/8		1/8	1		6	66	F#4	4	34
4	3	15/2	15/2	0.5	1/4	1/4	6/8	1	1	1/8		1/8	1		6	78	F#5	5	34
4	3	31/4	31/4	0.25	5/16	5/16	6/8	2	1	1/16		1/16	1		5	47	B2	2	42
4	3	8	8	0.25	3/8	3/8	6/8	2	1	1/16		1/16	1		6	42	F#2	2	43
4	3	8	8	1.0	3/8	3/8	6/8	1	1	1/4		1/4	1		4	64	E4	4	35
4	3	8	8	1.0	3/8	3/8	6/8	1	1	1/4		1/4	1		4	76	E5	5	35
4	3	33/4	33/4	0.25	7/16	7/16	6/8	2	1	1/16		1/16	1		9	51	D#3	3	44
4	3	17/2	17/2	0.25	1/2	1/2	6/8	2	1	1/16		1/16	1		6	54	F#3	3	45
4	3	35/4	35/4	0.25	9/16	9/16	6/8	2	1	1/16		1/16	1		3	57	A3	3	46
4	3	9	9	0.25	5/8	5/8	6/8	2	1	1/16		1/16	1		6	54	F#3	3	47
4	3	9	9	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		9	63	D#4	4	36
4	3	9	9	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		9	75	D#5	5	36
