mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	4/4	2	1	Db.I{	Db	I		I		I						{	M	0	0	0, 4, 1		0	0
1	1	1	1	1.0	1/4	1/4	4/4	2	1	I6	Db	I		I6		I		6					M	0	0	4, 1, 0		0	4
1	1	2	2	0.5	1/2	1/2	4/4	2	1	IV(9)	Db	I		IV(9)		IV			9				M	0	0	-1, 3, 0	1	-1	-1
1	1	5/2	5/2	0.5	5/8	5/8	4/4	2	1	IV	Db	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
1	1	3	3	0.5	3/4	3/4	4/4	2	1	V(6)	Db	I		V(6)		V			6				M	0	0	1, 5, 4		1	1
1	1	7/2	7/2	0.5	7/8	7/8	4/4	2	1	V2	Db	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
2	2	4	4	2.0	0	0	4/4	2	1	I6	Db	I		I6		I		6					M	0	0	4, 1, 0		0	4
2	2	6	6	0.5	1/2	1/2	4/4	2	1	IV(9)	Db	I		IV(9)		IV			9				M	0	0	-1, 3, 0	1	-1	-1
2	2	13/2	13/2	0.5	5/8	5/8	4/4	2	1	IV	Db	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
2	2	7	7	0.5	3/4	3/4	4/4	2	1	V(6)	Db	I		V(6)		V			6				M	0	0	1, 5, 4		1	1
2	2	15/2	15/2	0.5	7/8	7/8	4/4	2	1	V2	Db	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
3	3	8	8	1.0	0	0	4/4	2	1	I6	Db	I		I6		I		6					M	0	0	4, 1, 0		0	4
3	3	9	9	0.5	1/4	1/4	4/4	2	1	I(94)	Db	I		I(94)		I			94				M	0	0	0, -1, 1	2	0	0
3	3	19/2	19/2	0.5	3/8	3/8	4/4	2	1	I	Db	I		I		I							M	0	0	0, 4, 1		0	0
3	3	10	10	0.5	1/2	1/2	4/4	2	1	I(97)	Db	I		I(97)		I			97				M	0	0	0, 4, 1	2, 5	0	0
3	3	21/2	21/2	1.0	5/8	5/8	4/4	2	1	IV	Db	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
3	3	23/2	23/2	0.5	7/8	7/8	4/4	2	1	V(6)/ii	Db	I		V(6)/ii		V			6	ii			M	0	0	3, 7, -1		3	3
4	4	12	12	0.5	0	0	4/4	2	1	V7/ii	Db	I		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
4	4	25/2	25/2	1.0	1/8	1/8	4/4	2	1	ii	Db	I		ii		ii							m	0	0	2, -1, 3		2	2
4	4	27/2	27/2	0.5	3/8	3/8	4/4	2	1	vii%43	Db	I		vii%43		vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1
4	4	14	14	1.0	1/2	1/2	4/4	2	1	IV	Db	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
4	4	15	15	0.5	3/4	3/4	4/4	2	1	vi.V	Db	vi		V		V							M	0	1	1, 5, 2		1	1
4	4	31/2	31/2	0.5	7/8	7/8	4/4	2	1	V7	Db	vi		V7		V		7					Mm7	0	1	1, 5, 2, -1		1	1
5	5	16	16	4.0	0	0	4/4	2	1	i|PAC}	Db	vi		i		i					PAC	}	m	0	1	0, -3, 1		0	0
6	6	20	20	1.5	0	0	4/4	2	1	VI.I{	Db	VI		I		I						{	M	0	0	0, 4, 1		0	0
6	6	43/2	43/2	0.5	3/8	3/8	4/4	2	1	iii	Db	VI		iii		iii							m	0	0	4, 1, 5		4	4
6	6	22	22	0.5	1/2	1/2	4/4	2	1	IV	Db	VI		IV		IV							M	0	0	-1, 3, 0		-1	-1
6	6	45/2	45/2	0.5	5/8	5/8	4/4	2	1	V43(9)	Db	VI		V43(9)		V		43	9				Mm7	0	0	2, -1, 1, 5	3	1	2
6	6	23	23	0.5	3/4	3/4	4/4	2	1	V64(+6)	Db	VI		V64(+6)		V		64	+6				M	0	0	2, 1, 5	4	1	2
6	6	47/2	47/2	0.5	7/8	7/8	4/4	2	1	V7	Db	VI		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	24	24	1.5	0	0	4/4	2	1	I	Db	VI		I		I							M	0	0	0, 4, 1		0	0
7	7	51/2	51/2	0.5	3/8	3/8	4/4	2	1	iii	Db	VI		iii		iii							m	0	0	4, 1, 5		4	4
7	7	26	26	0.5	1/2	1/2	4/4	2	1	IV	Db	VI		IV		IV							M	0	0	-1, 3, 0		-1	-1
7	7	53/2	53/2	0.5	5/8	5/8	4/4	2	1	V43(9)	Db	VI		V43(9)		V		43	9				Mm7	0	0	2, -1, 1, 5	3	1	2
7	7	27	27	0.5	3/4	3/4	4/4	2	1	V64(+6)	Db	VI		V64(+6)		V		64	+6				M	0	0	2, 1, 5	4	1	2
7	7	55/2	55/2	0.5	7/8	7/8	4/4	2	1	V7	Db	VI		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	28	28	3.0	0	0	4/4	2	1	I.vi	Db	I		vi		vi							m	0	0	3, 0, 4		3	3
