mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	6/8	2	1	D.I{		D	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	1	1	0.5	1/4	1/4	6/8	2	1	V43(4)		D	I		V43(4)	V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
1	1	3/2	3/2	0.5	3/8	3/8	6/8	2	1	I6		D	I		I6	I		6					M	0	0	4, 1, 0		0	4
1	1	2	2	0.5	1/2	1/2	6/8	2	1	IV		D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
1	1	5/2	5/2	0.5	5/8	5/8	6/8	2	1	V7		D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
2	2	3	3	1.0	0	0	6/8	2	1	I|IAC}{		D	I		I	I					IAC	}{	M	0	0	0, 4, 1		0	0
2	2	4	4	0.5	1/4	1/4	6/8	2	1	V43(4)		D	I		V43(4)	V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
2	2	9/2	9/2	0.5	3/8	3/8	6/8	2	1	I6		D	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	2	5	5	0.5	1/2	1/2	6/8	2	1	IV		D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
2	2	11/2	11/2	0.5	5/8	5/8	6/8	2	1	V7		D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	3	6	6	0.5	0	0	6/8	2	1	vi|DC}{		D	I		vi	vi					DC	}{	m	0	0	3, 0, 4		3	3
3	3	13/2	13/2	0.5	1/8	1/8	6/8	2	1	vi.i		D	vi		i	i							m	0	1	0, -3, 1		0	0
3	3	7	7	0.5	1/4	1/4	6/8	2	1	V43(4)		D	vi		V43(4)	V		43	4				Mm7	0	1	2, -1, 1, 0		1	2
3	3	15/2	15/2	0.5	3/8	3/8	6/8	2	1	i6		D	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
3	3	8	8	0.5	1/2	1/2	6/8	2	1	iv		D	vi		iv	iv							m	0	1	-1, -4, 0		-1	-1
3	3	17/2	17/2	0.5	5/8	5/8	6/8	2	1	V7		D	vi		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
4	4	9	9	1.0	0	0	6/8	2	1	i|IAC}{		D	vi		i	i					IAC	}{	m	0	1	0, -3, 1		0	0
4	4	10	10	0.5	1/4	1/4	6/8	2	1	V43(4)		D	vi		V43(4)	V		43	4				Mm7	0	1	2, -1, 1, 0		1	2
4	4	21/2	21/2	0.5	3/8	3/8	6/8	2	1	i6		D	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
4	4	11	11	0.5	1/2	1/2	6/8	2	1	iv		D	vi		iv	iv							m	0	1	-1, -4, 0		-1	-1
4	4	23/2	23/2	0.5	5/8	5/8	6/8	2	1	V7		D	vi		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
5	5	12	12	1.0	0	0	6/8	2	1	VI|DC}{		D	vi		VI	VI					DC	}{	M	0	1	-4, 0, -3		-4	-4
5	5	13	13	0.5	1/4	1/4	6/8	2	1	iio64		D	vi		iio64	ii	o	64					o	0	1	-4, 2, -1		2	-4
5	5	27/2	27/2	0.5	3/8	3/8	6/8	2	1	V[V(64)		D	vi	V	V(64)	V			64				M	0	1	1, 0, -3		1	1
5	5	14	14	0.5	1/2	1/2	6/8	2	1	iv6		D	vi	V	iv6	iv		6					m	0	1	-4, 0, -1		-1	-4
5	5	29/2	29/2	0.5	5/8	5/8	6/8	2	1	V7		D	vi	V	V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
6	6	15	15	0.5	0	0	6/8	2	1	V(64)		D	vi	V	V(64)	V			64				M	0	1	1, 0, -3		1	1
6	6	31/2	31/2	1.0	1/8	1/8	6/8	2	1	V7]		D	vi	V	V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
6	6	33/2	33/2	1.5	3/8	3/8	6/8	2	1	i|PAC}		D	vi		i	i					PAC	}	m	0	1	0, -3, 1		0	0
7	7	18	18	1.0	0	0	6/8	2	1	I.I{		D	I		I	I						{	M	0	0	0, 4, 1		0	0
7	7	19	19	0.5	1/4	1/4	6/8	2	1	V43(4)		D	I		V43(4)	V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
7	7	39/2	39/2	0.5	3/8	3/8	6/8	2	1	I6		D	I		I6	I		6					M	0	0	4, 1, 0		0	4
7	7	20	20	0.5	1/2	1/2	6/8	2	1	IV		D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
7	7	41/2	41/2	0.5	5/8	5/8	6/8	2	1	V7		D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	21	21	1.0	0	0	6/8	2	1	I|IAC}{		D	I		I	I					IAC	}{	M	0	0	0, 4, 1		0	0
8	8	22	22	0.5	1/4	1/4	6/8	2	1	V43(4)		D	I		V43(4)	V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
8	8	45/2	45/2	0.5	3/8	3/8	6/8	2	1	I6		D	I		I6	I		6					M	0	0	4, 1, 0		0	4
8	8	23	23	0.5	1/2	1/2	6/8	2	1	IV		D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
8	8	47/2	47/2	0.5	5/8	5/8	6/8	2	1	V7		D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	9	24	24	0.5	0	0	6/8	2	1	vi|DC}{		D	I		vi	vi					DC	}{	m	0	0	3, 0, 4		3	3
9	9	49/2	49/2	0.5	1/8	1/8	6/8	2	1	vi.i		D	vi		i	i							m	0	1	0, -3, 1		0	0
9	9	25	25	0.5	1/4	1/4	6/8	2	1	V43(4)		D	vi		V43(4)	V		43	4				Mm7	0	1	2, -1, 1, 0		1	2
9	9	51/2	51/2	0.5	3/8	3/8	6/8	2	1	i6		D	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
9	9	26	26	0.5	1/2	1/2	6/8	2	1	iv		D	vi		iv	iv							m	0	1	-1, -4, 0		-1	-1
9	9	53/2	53/2	0.5	5/8	5/8	6/8	2	1	V7		D	vi		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
10	10	27	27	1.0	0	0	6/8	2	1	i|IAC}{		D	vi		i	i					IAC	}{	m	0	1	0, -3, 1		0	0
10	10	28	28	0.5	1/4	1/4	6/8	2	1	V43(4)		D	vi		V43(4)	V		43	4				Mm7	0	1	2, -1, 1, 0		1	2
10	10	57/2	57/2	0.5	3/8	3/8	6/8	2	1	i6		D	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
10	10	29	29	0.5	1/2	1/2	6/8	2	1	iv		D	vi		iv	iv							m	0	1	-1, -4, 0		-1	-1
10	10	59/2	59/2	0.5	5/8	5/8	6/8	2	1	V7		D	vi		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
11	11	30	30	1.0	0	0	6/8	2	1	VI|DC}{		D	vi		VI	VI					DC	}{	M	0	1	-4, 0, -3		-4	-4
11	11	31	31	0.5	1/4	1/4	6/8	2	1	iio64		D	vi		iio64	ii	o	64					o	0	1	-4, 2, -1		2	-4
11	11	63/2	63/2	0.5	3/8	3/8	6/8	2	1	V[V(64)		D	vi	V	V(64)	V			64				M	0	1	1, 0, -3		1	1
11	11	32	32	0.5	1/2	1/2	6/8	2	1	iv6		D	vi	V	iv6	iv		6					m	0	1	-4, 0, -1		-1	-4
11	11	65/2	65/2	0.5	5/8	5/8	6/8	2	1	V7		D	vi	V	V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
12	12	33	33	0.5	0	0	6/8	2	1	V(64)		D	vi	V	V(64)	V			64				M	0	1	1, 0, -3		1	1
12	12	67/2	67/2	1.0	1/8	1/8	6/8	2	1	V7]		D	vi	V	V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
12	12	69/2	69/2	1.5	3/8	3/8	6/8	2	1	i|PAC}		D	vi		i	i					PAC	}	m	0	1	0, -3, 1		0	0
13	13	36	36	1.0	0	0	6/8	2	1	I.I{		D	I		I	I						{	M	0	0	0, 4, 1		0	0
13	13	37	37	0.5	1/4	1/4	6/8	2	1	viio6		D	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
13	13	75/2	75/2	0.5	3/8	3/8	6/8	2	1	I6		D	I		I6	I		6					M	0	0	4, 1, 0		0	4
13	13	38	38	0.5	1/2	1/2	6/8	2	1	IV		D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
13	13	77/2	77/2	0.5	5/8	5/8	6/8	2	1	V		D	I		V	V							M	0	0	1, 5, 2		1	1
14	14	39	39	1.0	0	0	6/8	2	1	vi		D	I		vi	vi							m	0	0	3, 0, 4		3	3
14	14	40	40	0.5	1/4	1/4	6/8	2	1	viio		D	I		viio	vii	o						o	0	0	5, 2, -1		5	5
14	14	81/2	81/2	0.5	3/8	3/8	6/8	2	1	I		D	I		I	I							M	0	0	0, 4, 1		0	0
14	14	41	41	0.5	1/2	1/2	6/8	2	1	viio6		D	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
14	14	83/2	83/2	0.5	5/8	5/8	6/8	2	1	I6		D	I		I6	I		6					M	0	0	4, 1, 0		0	4
15	15	42	42	1.0	0	0	6/8	2	1	IV		D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
15	15	43	43	0.5	1/4	1/4	6/8	2	1	I6		D	I		I6	I		6					M	0	0	4, 1, 0		0	4
15	15	87/2	87/2	0.5	3/8	3/8	6/8	2	1	viio6		D	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
15	15	44	44	0.5	1/2	1/2	6/8	2	1	I		D	I		I	I							M	0	0	0, 4, 1		0	0
15	15	89/2	89/2	0.5	5/8	5/8	6/8	2	1	viio		D	I		viio	vii	o						o	0	0	5, 2, -1		5	5
16	16	45	45	1.0	0	0	6/8	2	1	vi		D	I		vi	vi							m	0	0	3, 0, 4		3	3
16	16	46	46	0.5	1/4	1/4	6/8	2	1	V		D	I		V	V							M	0	0	1, 5, 2		1	1
16	16	93/2	93/2	0.5	3/8	3/8	6/8	2	1	IV		D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
16	16	47	47	0.5	1/2	1/2	6/8	2	1	I6		D	I		I6	I		6					M	0	0	4, 1, 0		0	4
16	16	95/2	95/2	0.5	5/8	5/8	6/8	2	1	viio6		D	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
17	17	48	48	1.0	0	0	6/8	2	1	I		D	I		I	I							M	0	0	0, 4, 1		0	0
17	17	49	49	0.5	1/4	1/4	6/8	2	1	viio		D	I		viio	vii	o						o	0	0	5, 2, -1		5	5
17	17	99/2	99/2	0.5	3/8	3/8	6/8	2	1	vi	IV6	D	I		vi	vi							m	0	0	3, 0, 4		3	3
17	17	50	50	0.5	1/2	1/2	6/8	2	1	V		D	I		V	V							M	0	0	1, 5, 2		1	1
17	17	101/2	101/2	0.5	5/8	5/8	6/8	2	1	IV		D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
18	18	51	51	1.0	0	0	6/8	2	1	V/vi|HC}{		D	I		V/vi	V				vi	HC	}{	M	0	0	4, 8, 5		4	4
18	18	52	52	0.5	1/4	1/4	6/8	2	1	i/vi		D	I		i/vi	i				vi			m	0	0	3, 0, 4		3	3
18	18	105/2	105/2	1.0	3/8	3/8	6/8	2	1	V/vi		D	I		V/vi	V				vi			M	0	0	4, 8, 5		4	4
18	18	107/2	107/2	0.5	5/8	5/8	6/8	2	1	i/vi		D	I		i/vi	i				vi			m	0	0	3, 0, 4		3	3
19	19	54	54	1.0	0	0	6/8	2	1	V		D	I		V	V							M	0	0	1, 5, 2		1	1
19	19	55	55	1.5	1/4	1/4	6/8	2	1	I		D	I		I	I							M	0	0	0, 4, 1		0	0
19	19	113/2	113/2	0.5	5/8	5/8	6/8	2	1	vi.iv		D	vi		iv	iv							m	0	1	-1, -4, 0		-1	-1
20	20	57	57	1.0	0	0	6/8	2	1	i		D	vi		i	i							m	0	1	0, -3, 1		0	0
20	20	58	58	0.5	1/4	1/4	6/8	2	1	iv		D	vi		iv	iv							m	0	1	-1, -4, 0		-1	-1
20	20	117/2	117/2	1.5	3/8	3/8	6/8	2	1	i|PC}		D	vi		i	i					PC	}	m	0	1	0, -3, 1		0	0
21	21	60	60	1.0	0	0	6/8	2	1	I.I{		D	I		I	I						{	M	0	0	0, 4, 1		0	0
21	21	61	61	0.5	1/4	1/4	6/8	2	1	viio6		D	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
21	21	123/2	123/2	0.5	3/8	3/8	6/8	2	1	I6		D	I		I6	I		6					M	0	0	4, 1, 0		0	4
21	21	62	62	0.5	1/2	1/2	6/8	2	1	IV		D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
21	21	125/2	125/2	0.5	5/8	5/8	6/8	2	1	V		D	I		V	V							M	0	0	1, 5, 2		1	1
22	22	63	63	1.0	0	0	6/8	2	1	vi		D	I		vi	vi							m	0	0	3, 0, 4		3	3
