mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.25	0	0	6/8	2	1	1/16	1/16	1		2	62	D4	4	5
1	1	0	0	1.0	0	0	6/8	1	1	1/4	1/4	1		2	74	D5	5	0
1	1	0	0	1.0	0	0	6/8	1	1	1/4	1/4	1		6	78	F#5	5	0
1	1	1/4	1/4	0.25	1/16	1/16	6/8	2	1	1/16	1/16	1		3	69	A4	4	6
1	1	1/2	1/2	0.25	1/8	1/8	6/8	2	1	1/16	1/16	1		2	62	D4	4	7
1	1	3/4	3/4	0.25	3/16	3/16	6/8	2	1	1/16	1/16	1		3	69	A4	4	8
1	1	1	1	0.25	1/4	1/4	6/8	2	1	1/16	1/16	1		4	64	E4	4	9
1	1	1	1	0.5	1/4	1/4	6/8	1	1	1/8	1/8	1		2	74	D5	5	1
1	1	1	1	0.5	1/4	1/4	6/8	1	1	1/8	1/8	1		1	79	G5	5	1
1	1	5/4	5/4	0.25	5/16	5/16	6/8	2	1	1/16	1/16	1		3	69	A4	4	10
1	1	3/2	3/2	0.25	3/8	3/8	6/8	2	1	1/16	1/16	1		6	66	F#4	4	11
1	1	3/2	3/2	0.5	3/8	3/8	6/8	1	1	1/8	1/8	1		2	74	D5	5	2
1	1	3/2	3/2	0.5	3/8	3/8	6/8	1	1	1/8	1/8	1		3	81	A5	5	2
1	1	7/4	7/4	0.25	7/16	7/16	6/8	2	1	1/16	1/16	1		3	69	A4	4	12
1	1	2	2	0.25	1/2	1/2	6/8	2	1	1/16	1/16	1		1	55	G3	3	13
1	1	2	2	0.5	1/2	1/2	6/8	1	1	1/8	1/8	1		2	74	D5	5	3
1	1	2	2	0.5	1/2	1/2	6/8	1	1	1/8	1/8	1		5	83	B5	5	3
1	1	9/4	9/4	0.25	9/16	9/16	6/8	2	1	1/16	1/16	1		1	67	G4	4	14
1	1	5/2	5/2	0.25	5/8	5/8	6/8	2	1	1/16	1/16	1		3	57	A3	3	15
1	1	5/2	5/2	0.5	5/8	5/8	6/8	1	1	1/8	1/8	1		7	73	C#5	5	4
1	1	5/2	5/2	0.5	5/8	5/8	6/8	1	1	1/8	1/8	1		4	76	E5	5	4
1	1	11/4	11/4	0.25	11/16	11/16	6/8	2	1	1/16	1/16	1		1	67	G4	4	16
2	2	3	3	0.25	0	0	6/8	2	1	1/16	1/16	1		2	62	D4	4	22
2	2	3	3	1.0	0	0	6/8	1	1	1/4	1/4	1		2	74	D5	5	17
2	2	3	3	1.0	0	0	6/8	1	1	1/4	1/4	1		6	78	F#5	5	17
