mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	2/4	2	1	b.i[i{	b	i	i	i	i						{	m	1	1	0, -3, 1		0	0
1	1	1	1	1.0	1/4	1/4	2/4	2	1	V7	b	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
2	2	2	2	2.0	0	0	2/4	2	1	i]	b	i	i	i	i							m	1	1	0, -3, 1		0	0
3	3	4	4	1.0	0	0	2/4	2	1	V	b	i		V	V							M	1	1	1, 5, 2		1	1
3	3	5	5	1.0	1/4	1/4	2/4	2	1	V7	b	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	6	6	3.0	0	0	2/4	2	1	i[i|PAC}{	b	i	i	i	i					PAC	}{	m	1	1	0, -3, 1		0	0
5	5	9	9	1.0	1/4	1/4	2/4	2	1	V7	b	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
6	6	10	10	1.0	0	0	2/4	2	1	i]	b	i	i	i	i							m	1	1	0, -3, 1		0	0
6	6	11	11	1.0	1/4	1/4	2/4	2	1	III.IV	b	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
7	7	12	12	1.0	0	0	2/4	2	1	V(64)	b	III		V(64)	V			64				M	1	0	1, 0, 4		1	1
7	7	13	13	1.0	1/4	1/4	2/4	2	1	V7	b	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
8	8	14	14	2.0	0	0	2/4	2	1	I|IAC}{	b	III		I	I					IAC	}{	M	1	0	0, 4, 1		0	0
9	9	16	16	1.0	0	0	2/4	2	1	i[i	b	III	i	i	i							m	1	0	0, -3, 1		0	0
9	9	17	17	1.0	1/4	1/4	2/4	2	1	V7	b	III	i	V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
10	10	18	18	2.0	0	0	2/4	2	1	i]	b	III	i	i	i							m	1	0	0, -3, 1		0	0
11	11	20	20	1.0	0	0	2/4	2	1	V	b	III		V	V							M	1	0	1, 5, 2		1	1
11	11	21	21	1.0	1/4	1/4	2/4	2	1	V7	b	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
12	12	22	22	3.0	0	0	2/4	2	1	i[i|PAC}{	b	III	i	i	i					PAC	}{	m	1	0	0, -3, 1		0	0
13	13	25	25	1.0	1/4	1/4	2/4	2	1	V7	b	III	i	V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
14	14	26	26	1.0	0	0	2/4	2	1	i]	b	III	i	i	i							m	1	0	0, -3, 1		0	0
14	14	27	27	1.0	1/4	1/4	2/4	2	1	III.IV	b	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
15	15	28	28	1.0	0	0	2/4	2	1	V(64)	b	III		V(64)	V			64				M	1	0	1, 0, 4		1	1
15	15	29	29	1.0	1/4	1/4	2/4	2	1	V7	b	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
16	16	30	30	2.0	0	0	2/4	2	1	I|IAC}{	b	III		I	I					IAC	}{	M	1	0	0, 4, 1		0	0
17	17	32	32	0.5	0	0	2/4	2	1	I[I	b	III	I	I	I							M	1	0	0, 4, 1		0	0
17	17	65/2	65/2	0.5	1/8	1/8	2/4	2	1	V2	b	III	I	V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
17	17	33	33	1.0	1/4	1/4	2/4	2	1	I]	b	III	I	I	I							M	1	0	0, 4, 1		0	0
18	18	34	34	0.5	0	0	2/4	2	1	vi	b	III		vi	vi							m	1	0	3, 0, 4		3	3
18	18	69/2	69/2	0.5	1/8	1/8	2/4	2	1	V43(4)/vi	b	III		V43(4)/vi	V		43	4	vi			Mm7	1	0	5, 2, 4, 3		4	5
18	18	35	35	1.0	1/4	1/4	2/4	2	1	vi6	b	III		vi6	vi		6					m	1	0	0, 4, 3		3	0
19	19	36	36	0.5	0	0	2/4	2	1	IV[IV	b	III	IV	IV	IV							M	1	0	-1, 3, 0		-1	-1
19	19	73/2	73/2	0.5	1/8	1/8	2/4	2	1	V2/IV	b	III	IV	V2/IV	V		2		IV			Mm7	1	0	-2, 0, 4, 1		0	-2
19	19	37	37	1.0	1/4	1/4	2/4	2	1	IV]	b	III	IV	IV	IV							M	1	0	-1, 3, 0		-1	-1
20	20	38	38	0.5	0	0	2/4	2	1	ii	b	III		ii	ii							m	1	0	2, -1, 3		2	2
20	20	77/2	77/2	0.5	1/8	1/8	2/4	2	1	V43(4)/ii	b	III		V43(4)/ii	V		43	4	ii			Mm7	1	0	4, 1, 3, 2		3	4
20	20	39	39	1.0	1/4	1/4	2/4	2	1	ii6	b	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
21	21	40	40	2.0	0	0	2/4	2	1	i.i	b	i		i	i							m	1	1	0, -3, 1		0	0
22	22	42	42	0.5	0	0	2/4	2	1	iv6	b	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
22	22	85/2	85/2	0.5	1/8	1/8	2/4	2	1	iv64	b	i		iv64	iv		64					m	1	1	0, -1, -4		-1	0
22	22	43	43	1.0	1/4	1/4	2/4	2	1	iv	b	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
23	23	44	44	2.0	0	0	2/4	2	1	i	b	i		i	i							m	1	1	0, -3, 1		0	0
24	24	46	46	0.5	0	0	2/4	2	1	V64/V	b	i		V64/V	V		64		V			M	1	1	3, 2, 6		2	3
24	24	93/2	93/2	0.5	1/8	1/8	2/4	2	1	V/V	b	i		V/V	V				V			M	1	1	2, 6, 3		2	2
24	24	47	47	1.0	1/4	1/4	2/4	2	1	V6/V	b	i		V6/V	V		6		V			M	1	1	6, 3, 2		2	6
25	25	48	48	2.0	0	0	2/4	2	1	V65	b	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
26	26	50	50	2.0	0	0	2/4	2	1	i|EC}{	b	i		i	i					EC	}{	m	1	1	0, -3, 1		0	0
27	27	52	52	2.0	0	0	2/4	2	1	iio6	b	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
28	28	54	54	2.0	0	0	2/4	2	1	V(64)	b	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
29	29	56	56	2.0	0	0	2/4	2	1	V7	b	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
30	30	58	58	0.5	0	0	2/4	2	1	i[i|IAC}	b	i	i	i	i					IAC	}	m	1	1	0, -3, 1		0	0
30	30	117/2	117/2	0.5	1/8	1/8	2/4	2	1	iv	b	i	i	iv	iv							m	1	1	-1, -4, 0		-1	-1
30	30	59	59	0.5	1/4	1/4	2/4	2	1	i	b	i	i	i	i							m	1	1	0, -3, 1		0	0
30	30	119/2	119/2	0.5	3/8	3/8	2/4	2	1	ii%7	b	i	i	ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
31	31	60	60	2.0	0	0	2/4	2	1	i]	b	i	i	i	i							m	1	1	0, -3, 1		0	0
32	32	62	62	0.5	0	0	2/4	2	1	III.I[I{	b	III	I	I	I						{	M	1	0	0, 4, 1		0	0
32	32	125/2	125/2	0.5	1/8	1/8	2/4	2	1	V43	b	III	I	V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
32	32	63	63	1.0	1/4	1/4	2/4	2	1	I]	b	III	I	I	I							M	1	0	0, 4, 1		0	0
33	33	64	64	1.0	0	0	2/4	2	1	IV	b	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
33	33	65	65	1.0	1/4	1/4	2/4	2	1	IV6	b	III		IV6	IV		6					M	1	0	3, 0, -1		-1	3
34	34	66	66	2.0	0	0	2/4	2	1	viio	b	III		viio	vii	o						o	1	0	5, 2, -1		5	5
35	35	68	68	1.0	0	0	2/4	2	1	iii	b	III		iii	iii							m	1	0	4, 1, 5		4	4
35	35	69	69	1.0	1/4	1/4	2/4	2	1	iii6	b	III		iii6	iii		6					m	1	0	1, 5, 4		4	1
36	36	70	70	0.5	0	0	2/4	2	1	vi[vi	b	III	vi	vi	vi							m	1	0	3, 0, 4		3	3
36	36	141/2	141/2	0.5	1/8	1/8	2/4	2	1	V43/vi	b	III	vi	V43/vi	V		43		vi			Mm7	1	0	5, 2, 4, 8		4	5
36	36	71	71	1.0	1/4	1/4	2/4	2	1	vi]	b	III	vi	vi	vi							m	1	0	3, 0, 4		3	3
37	37	72	72	1.0	0	0	2/4	2	1	ii	b	III		ii	ii							m	1	0	2, -1, 3		2	2
37	37	73	73	1.0	1/4	1/4	2/4	2	1	ii6	b	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
38	38	74	74	2.0	0	0	2/4	2	1	i.V65	b	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
39	39	76	76	2.0	0	0	2/4	2	1	i|EC}{	b	i		i	i					EC	}{	m	1	1	0, -3, 1		0	0
40	40	78	78	2.0	0	0	2/4	2	1	iio6	b	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
41	41	80	80	2.0	0	0	2/4	2	1	V(64)	b	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
42	42	82	82	2.0	0	0	2/4	2	1	V	b	i		V	V							M	1	1	1, 5, 2		1	1
43	43	84	84	0.5	0	0	2/4	2	1	i[i|IAC}	b	i	i	i	i					IAC	}	m	1	1	0, -3, 1		0	0
43	43	169/2	169/2	0.5	1/8	1/8	2/4	2	1	iv	b	i	i	iv	iv							m	1	1	-1, -4, 0		-1	-1
43	43	85	85	0.5	1/4	1/4	2/4	2	1	i	b	i	i	i	i							m	1	1	0, -3, 1		0	0
43	43	171/2	171/2	0.5	3/8	3/8	2/4	2	1	ii%7	b	i	i	ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
44	44	86	86	2.0	0	0	2/4	2	1	i]	b	i	i	i	i							m	1	1	0, -3, 1		0	0
45	45	88	88	0.5	0	0	2/4	2	1	III.I[I{	b	III	I	I	I						{	M	1	0	0, 4, 1		0	0
45	45	177/2	177/2	0.5	1/8	1/8	2/4	2	1	V43	b	III	I	V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
45	45	89	89	1.0	1/4	1/4	2/4	2	1	I]	b	III	I	I	I							M	1	0	0, 4, 1		0	0
46	46	90	90	1.0	0	0	2/4	2	1	IV	b	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
46	46	91	91	1.0	1/4	1/4	2/4	2	1	IV6	b	III		IV6	IV		6					M	1	0	3, 0, -1		-1	3
47	47	92	92	2.0	0	0	2/4	2	1	viio	b	III		viio	vii	o						o	1	0	5, 2, -1		5	5
48	48	94	94	1.0	0	0	2/4	2	1	iii	b	III		iii	iii							m	1	0	4, 1, 5		4	4
48	48	95	95	1.0	1/4	1/4	2/4	2	1	iii6	b	III		iii6	iii		6					m	1	0	1, 5, 4		4	1
49	49	96	96	0.5	0	0	2/4	2	1	vi[vi	b	III	vi	vi	vi							m	1	0	3, 0, 4		3	3
49	49	193/2	193/2	0.5	1/8	1/8	2/4	2	1	V43/vi	b	III	vi	V43/vi	V		43		vi			Mm7	1	0	5, 2, 4, 8		4	5
